"Source:","/home/rattboi/code/veccart/veccart.sch"
"Date:","Wed 19 Jun 2019 09:59:46 PM PDT"
"Tool:","Eeschema (5.1.0-1062-ge16bf40e6)"
"Component Count:","28"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A225KAFNNNG/1276-6458-1-ND/5958086"
"C2","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A225KAFNNNG/1276-6458-1-ND/5958086"
"C3","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"C6","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A225KAFNNNG/1276-6458-1-ND/5958086"
"C7","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A225KAFNNNG/1276-6458-1-ND/5958086"
"C8","18pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21C180JBANNNC/1276-1107-1-ND/3889193"
"C9","18pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21C180JBANNNC/1276-1107-1-ND/3889193"
"C10","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"C11","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"C12","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093"
"D1","MBR0520","Diode_SMD:D_SOD-123","http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf","","https://www.digikey.com/product-detail/en/on-semiconductor/MBR0520LT1G/MBR0520LT1GOSCT-ND/917965"
"D2","MBR0520","Diode_SMD:D_SOD-123","http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf","","https://www.digikey.com/product-detail/en/on-semiconductor/MBR0520LT1G/MBR0520LT1GOSCT-ND/917965"
"D3","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C170KRKT/160-1415-1-ND/386778"
"J1","USB_B_Mini","veccart:USB_Mini_B_Female_UX60-MB-5ST","~","","https://www.digikey.com/product-detail/en/hirose-electric-co-ltd/UX60-MB-5ST/H2959CT-ND/597538"
"J2","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","",""
"JP1","Jumper_NO_Small","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"R1","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF22R0V/P22.0CCT-ND/1746835"
"R2","22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF22R0V/P22.0CCT-ND/1746835"
"R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248"
"R4","220","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-P06J221V/P220ADCT-ND/525477"
"U1","LM1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","https://www.digikey.com/product-detail/en/texas-instruments/LM1117MP-3.3-NOPB/LM1117MP-3.3-NOPBCT-ND/308024"
"U2","STM32F411RCTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115249.pdf","","https://www.digikey.com/product-detail/en/stmicroelectronics/STM32F411RCT6/497-14908-ND/4935721"
"U3","74HC32","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT32.pdf","","https://www.digikey.com/product-detail/en/on-semiconductor/MC74HC32ADR2G/MC74HC32ADR2GOSCT-ND/1139723"
"U4","SN74LVC8T245DB","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","http://www.ti.com/lit/ds/symlink/sn74lvc8t245.pdf","","https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC8T245DBR/296-21065-1-ND/1217022"
"U5","W25Q128","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","https://www.pjrc.com/teensy/W25Q128FV.pdf","","https://www.digikey.com/product-detail/en/winbond-electronics/W25Q128JVSIQ/W25Q128JVSIQ-ND/5803943"
"Y1","8MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","https://abracon.com/Resonators/abm3.pdf","","https://www.digikey.com/product-detail/en/abracon-llc/ABM3-8.000MHZ-D2Y-T/535-10630-1-ND/2344632"
